NHx-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	2870	3359.97	1210.59	150.26	226.58	130.56	124.03	116.92	102.02	90.43
	81.63	72.72	47.48	38.02	47.1	43.67	43.86	38.92	40.16	38.3
	37.97	37.15	39.5	118.74	246.76	99.64	188.74	271.45	520.71	539.12
	102.61	138.51	115.85	373.83	211.14	95.52	60.45	34.86	42.43	45.09
	61.79	54.76	46.82	38.93	38.76	45.64	71.63	396.17	1272.35	1193.63
	1311.47	1216.06	1330.96	1220.27	1308.81	1344.94	1083.77	339.18	80.08	55.39
	43.04	34.29	62.26	66.74	85.93	283.17	91.89	61.88	193.98	447.36
	384	806.11	1477.34	3123.05	1883.16	543.97	90.59	75.18	91.62	76.12
	74.61	69.27	57.17	50.34	31.03	27.36	36.08	38.8	31.45	28.45
	30.72	32.89	33.73	39.79	47.55	71.53	71.71	156.67	273.6	332.86
	234.2	71.42	33.03	22.8	40.13	40.8	35.53	30.86	23.05	25.26
	42.08	53.42	53.02	46.8	41	36.42	37.35	44.61	497.92	708.94
	992.81	2603.28	1239.91	910.48	1262.29	870.61	1182.45	1128.1	995.68	570.98
	597.78	448.55	321.71	343.51	284.14	321.8	513.62	101.42	111.17	57.98
	88.04	139.52	156.86	541.04	732.55	945.41	311.96	150.83	31.28	48.02
	63.8	47.44	44.7	57.94	49.65	40.83	32.32	26.98	30.86	35.77
	27.67	23.78	23.75	26.72	42.29	49.41	14.4	7.21	4.78	40.34
	75.72	48.96	18.21	16.35	26.75	22.08	28.6	16.94	14.55	12.48
	12.41	27.62	44.92	42.93	41.6	36.99	37.83	41.21	41.12	48.9
	387.33	813.82	163.28	336.58	1112.66	368.08	751.28	1074.43	771.49	733.31
	673.07	615.42	708.87	566.78	525.95	599.44	419.29	305.62	383.95	408.82
	189.04	43.98	77.39	40.78	53.44	37.44	71.31	82.04	74	49.42
	45.32	48.6	44.29	39.25	24.88	40.02	40.19	35.6	30.31	23.59
	25.06	23.22	18.69	13.6	27.89	44.38	25.62	24.53	7.18	-1.18
	0.1	19.18	16.85	8.42	10.27	14.26	19.55	22.73	22.97	11.51
	13.51	11.02	20.36	34.69	44.29	30.63	28.14	34.75	39.33	44.11
