N-deposition	mg N/m2/year		im = 72		jm = 48		year1860			
	1.97	1.69	11.11	17.32	21.09	34.64	40.63	31.13	15.65	66.45
	48.98	16.45	27.28	38.25	210.53	392.83	60.04	63.05	49.53	69.82
	121.25	184.3	194.07	237.99	169.27	74.22	107.64	67.63	58.48	56.13
	43.58	33.2	31.88	30.29	25.62	21.55	27.87	24.42	22.31	21.84
	21.97	21.17	19.4	18.56	19.28	16.49	14.45	49.78	136.11	34.41
	48.91	80.74	178.32	192.11	262.16	231.22	224.17	73.2	64.66	56.94
	49.61	37.79	31.49	25.97	21.48	15.7	18.78	18.52	19.73	22.76
	57.34	77.48	34.73	24.42	34.09	53.42	56.02	51.88	71.98	60.34
	63.95	66.82	79.35	31.08	23.99	49.05	109.42	84.17	25.46	27.72
	42.31	40.23	79.28	97.08	148.07	237.13	107.93	86.15	56.05	81.4
	88.55	68.2	52.84	50.49	39.22	35.8	30.85	29.7	33.44	28.76
	23.03	27.18	27.89	23.52	21.9	19.22	20.2	19.3	22	87.74
	61.98	37.25	84.76	120.36	237.19	386.6	414.07	364.89	367.57	303.69
	64.08	62.08	64.18	55.29	43.61	39.51	30.7	25.29	18.89	17.78
	15.84	21.37	98.7	163.82	92.84	42.75	81.25	116.85	116.62	105.79
	89.27	55.65	76.53	117.91	44.44	10.51	17.05	60.07	75.34	49.3
	18.88	7.35	5.25	16.5	15.81	27.73	68.35	184.69	134.44	134.61
	50.18	37.75	54.25	39.95	46.52	47.54	42.35	40.15	37.39	32.73
	28.08	21.55	21.15	19.93	24.77	21.71	20.17	18.29	16.7	18.24
	19.06	60.89	88.16	91.95	81.88	111.94	227.67	654.93	593.97	251.83
	264.64	450.07	105.81	59.42	45.54	36.45	32.91	38.47	34.27	31.13
	22.47	17.89	21.58	23	49.35	86.33	189.41	168.83	227.47	160.67
	205.61	243.61	60.98	65.85	120.54	103.26	25.7	13.79	24.89	19.48
	31.16	47.36	53.74	37.9	14.31	17.84	23.5	30.13	27.71	54.13
	118.79	180.12	123.32	39.82	44.4	30.15	27.43	31.87	30.83	29.21
	29.32	26.39	21.98	19.16	23.03	20.35	21.47	18.82	18.13	17.09
	16.84	17.51	19.8	47.36	142.46	79.19	73.56	96.51	172.73	236.41
	82.51	74.45	65.91	143.6	96.95	43.62	44.36	29.7	35.03	32.46
	39.02	35.68	32.95	26.8	25.29	28.43	36.45	103.47	297.13	303.59
	302.17	306.68	276.54	261.22	252.67	254.88	198.54	99.83	38.79	31.25
	23.97	19.77	34.45	34.57	29.41	34.76	35.67	45.31	45.37	52.76
	41.61	39.43	96.47	149.44	151.95	78.56	24.1	20.67	24.73	23.49
	23.69	24.48	23.19	22.14	16.61	15.18	18.83	19.02	15.78	14.38
	14.36	15.21	16.59	19.6	24.89	34.51	46.89	55.42	61.4	66.35
	59.59	48.13	46.16	29.75	42.36	51.2	45.03	35.81	30.44	23.07
	29.89	35.8	33.63	30.9	28.97	24.92	25.51	26.26	96.55	150.18
	214.39	387.32	345.2	299.76	332.63	207.03	245.89	217.19	187.15	139.82
	131.19	111.69	92.97	84.6	73.04	64.91	98	38.69	38.21	37.96
	57.14	61.85	47.93	109.82	102.28	110.83	94.94	61.59	27.91	17.39
	22.64	19.09	16.57	21.88	20.35	18.35	14.53	13.73	15.28	16.8
	14.27	13.47	13.16	14.19	20.38	24.65	18.97	19.45	19.1	32
	32.94	32.2	31.65	30.04	32.55	25.24	25.93	28.18	28.67	24.45
	18.24	21.59	31.16	28.86	29.7	26.46	26.19	27.03	26.46	29.57
	82.2	166.76	52.43	82.72	275.64	138.58	177.17	226.67	184.45	148.41
	136.46	132.47	133.36	122.78	127.85	125.32	90.36	77.81	103.65	109.08
	55.72	40.93	43.69	44.14	42	46.44	61.35	63.3	58.16	38.79
	23.63	21.56	21.45	20.8	16.15	17.77	18.55	15.76	15.84	13.66
	14.54	14.09	11.29	10.78	16.46	24.54	15.36	16.55	19.61	15.72
	19.61	28.74	28.81	27.43	29.24	23.49	22.56	21.87	19.55	16.88
	19.17	14.83	17.07	24.8	31.22	21.45	19.18	22.67	24.56	26.79
	24.31	26.23	32.51	70.08	39.3	67.1	143.38	224.16	115.05	185.85
	97	98.34	107.24	103.85	90.85	98.75	64.91	44.65	41.04	41.09
	40.12	51.11	49.78	41.43	40.58	42.17	42.19	41.09	42.77	43.37
	38.34	39.18	26.86	25.15	22.52	19.04	13.12	14.66	14.52	16.6
	12.03	9.41	10.42	11.28	7.13	8.67	10.45	10.71	11.67	24.92
	25.32	22.82	15.82	16.84	17.59	16.42	15.52	15.13	19.58	16.47
	10.01	9.77	7.8	8.36	13.31	19.36	8.16	4.75	22.07	18.1
	23.31	23.3	21.77	21.51	20.59	21.82	27.87	38.21	68.74	107.22
	131.23	146.93	88.72	67.82	88.29	66.5	53.08	53.89	41.36	60.18
	46.05	44.83	42.01	45.87	47.27	43.19	46.45	46.62	48.57	42.27
	43.53	44.8	45.3	37.55	33.63	40.01	41.48	33	20.82	15.62
	14.56	13.05	7.36	8.44	10.81	10.84	9.1	12.58	10.78	12.62
	11.56	14.67	16.84	11.93	12.93	14.25	8.28	11.73	10.18	9.9
	11.28	6.81	7.01	7.4	6.63	5.62	7.34	7.83	5.32	3.05
	10.12	9.72	17.23	16.06	11.43	17.48	13.37	15.53	21.17	25.31
	33.6	53.97	76.73	103.88	61.45	28.37	33.57	43.65	40.12	36.09
	31.59	35.87	36.06	28.35	33.17	35.73	37.58	40.91	46.66	50.09
	48.21	48.29	44.82	51.8	37.7	34.36	31.93	38.06	39.8	31.08
	29.99	29.54	16.3	12.38	8.87	9.63	10.32	9.34	6.18	8.05
	8.84	9.95	9.67	11.15	9.28	8.78	6.7	7.47	7.4	6.76
	5.36	5.17	7.02	4.48	5.48	7.01	5.41	5.71	5.7	5.64
	4.12	2.48	1.79	2.29	2.86	3.46	8.04	10.02	11.64	15.36
	18.96	20.72	23.73	30.59	29.85	25.56	29.66	28.92	26.93	24.43
	22.29	21.81	26.64	24.59	18.3	20.55	19.3	16.19	13.22	13.85
	15.72	25.47	22.59	26.15	26.58	29.83	23.04	21.8	20.51	19.6
	12.74	11.04	12.24	11.57	10.37	8.88	7.81	7.64	7.76	7.4
	5.44	6.76	6.39	7.34	7.99	8.32	7.43	8.53	5.81	4.41
	4.26	3.43	2.47	2.93	3.07	3.48	5.19	5.8	4.2	4.66
	4.89	3.28	3	1.78	1.6	1.92	2.61	3.01	6.98	9.21
	12.03	13.88	17.14	19.55	22.09	21.87	17.51	20.98	23.55	21.51
	21.51	22.64	16.13	9.56	9.97	11.76	10.94	10.88	8.87	10.48
	8.78	8.66	9.22	9.68	10.68	8.52	8.92	8.82	7.99	7.93
	6.54	8.46	6.68	8.1	5.55	6.02	7.51	6.54	5.02	4.57
	4.09	3.99	4.14	4.15	4.45	4.8	5.57	6.5	6	5.96
	5.36	4.78	4.18	4.53	4.06	2.2	2.11	2.75	2.84	1.98
	1.66	2.1	1.83	2.08	1.81	1.27	1.17	1.42	1.96	2
	2.54	4.15	6.1	8.93	12.86	13.1	13.53	8.47	6.85	6.68
	9.74	11.72	11.84	11.48	10.29	9.68	7.53	6.86	6.29	5.63
	5.16	6.85	6.47	6.15	5.7	6.18	6.35	4.06	3.23	5.28
	6.06	7.55	8.04	7.31	6.6	4.84	4.8	4.33	5.31	5.9
	3.58	3.66	3.92	3.57	3.68	4.16	4.11	4.02	4.24	4.22
	4.34	4.84	5.32	6.38	5.82	6.4	5.59	4.39	4	3.43
	2.96	1.6	1.57	1.43	1.3	1.71	1.67	1.24	1.28	1.57
	1.51	1.61	1.55	2.85	2.61	2.75	3.9	4.88	6.08	5.47
	5.23	6.31	5.56	6.65	7.12	7.2	6.79	5.98	5.77	5.09
	5.12	4.98	5.24	5.15	5.22	4.73	4.7	4.54	4.99	4.36
	4.18	3.93	4.2	5.22	7.29	7.01	5.78	4.93	5.09	5.32
	4.68	4.11	3.93	4.17	4.58	4.31	4.41	4.1	4.08	4.06
	4.47	4.68	5.19	5.61	5.84	5.67	5.21	4.91	5.09	4.91
	4.59	5.74	5.62	4.94	4.93	5.06	4.33	5.43	5.98	5.6
	5.54	4.82	4.84	4.95	3.99	3.63	4.37	4.13	3.99	3.87
	3.85	3.87	4.54	4.6	4.84	4.89	5.38	5.61	5.82	5.86
	6.04	6.5	6.55	6.7	6.95	6.95	6.61	7.15	6.73	6.17
