NOy-deposition	mg N/m2/year		im = 72		jm = 48		year2050			
	74.25	77.3	84.6	94.97	102.16	102.78	126.74	294.85	285.57	315.06
	269.54	355.2	348.08	304.36	433.31	291.23	250.11	347.52	297.88	266.15
	212.65	173	191.57	235.74	476.5	715.92	487.51	316.59	284.93	269.72
	604.91	376.78	332.47	259.26	407.71	92.9	76.96	72.58	61.76	56.61
	48.35	45.45	42.88	51.46	46.07	48.95	51.65	49.51	51.13	50.12
	47.08	48.48	43.36	44.25	44.48	54.86	69.44	80.69	85.41	102.63
	140.33	486.26	1642.59	549.68	315.1	184.9	226.54	270.85	549.92	337.73
	112.54	93.76	81.92	80.92	76.08	79.77	84.39	82.26	114.13	140.13
	71.01	104.12	122.6	89.4	76.95	111.82	121.21	67.95	99.69	140.57
	334.33	148.12	134.58	157.29	149.12	222.08	649.89	646.05	637.03	383.17
	349.52	415.94	815.35	417.67	428.22	371.96	332.36	109.69	95.16	77.86
	70.52	54.67	58.13	57.42	55.89	64.05	60.66	54.74	55.69	56.33
	54.64	60.08	57.46	49.96	45.41	46.06	49.82	55.28	67.26	76.16
	85.85	114.58	223.7	735.03	1259.58	215.68	268.88	296.65	284.82	187.72
	259.46	185.78	167.01	93.61	90.71	83.27	72.92	73.29	80.35	86.74
	110.44	55.86	49.19	48.61	75.67	106.92	55.93	61.5	56.83	73.01
	131.35	242.55	572.02	141.04	135.23	199.83	227.64	216.62	594.22	751.47
	676.35	895.94	873.38	435.95	515.36	712.16	953.95	890.68	714.07	199.4
	135.23	98.79	83.23	68.47	71.31	70.89	60.64	65.71	62.28	53.82
	63.71	60.81	57.44	57.4	58.78	52.02	53.12	54.78	56.34	59.53
	63.43	74.62	106.46	179.77	332.52	471.01	681.05	270.14	300.16	467
	402.67	172.77	229.97	141.8	190.48	198.15	111.88	92.88	76.79	72.26
	79.23	94.45	106.79	97.28	66.61	55.39	52.97	58.73	65.28	81.74
	71.68	100.78	529.58	342.69	240.49	384.16	670.24	816.4	294.59	367.77
	406.78	659.19	970.72	1177.42	923.15	490.48	511.01	1037.79	1391.2	1300.91
	1144.77	410.91	210.91	137.74	97.24	80.23	73.87	76.17	68.12	69.98
	66.85	60.64	66.51	59.66	56.54	56.2	66.79	60.58	55.01	59.25
	58.08	56.27	58.73	78.98	244.68	267.3	381.9	363.32	555.78	842.47
	776.45	591.88	476.92	245.37	267.01	163.05	159.58	203.88	225.11	120.67
	88.55	80.79	82.62	94.24	103.44	137.09	152.41	77.35	61.8	63.1
	73.1	140.1	117.94	145.42	846.99	338.84	154.16	598.2	633.42	255.86
	150.95	201.57	388.24	1025.59	762.78	247.32	229.11	355.67	533.79	1547.32
	1493.21	1807.16	1317.81	536.72	451.1	273.25	184.6	141.58	118.07	110.99
	102.6	85.15	76.9	70.14	94.43	87.57	79.5	70.86	73.97	74.66
	68.85	60.8	60.84	61.06	62.15	115.11	669.33	415.93	238.27	326.65
	544.96	708.23	728.03	784.85	656.18	506.52	344.04	217.22	169.62	164.83
	171.13	234.94	135.42	106.45	98.12	107.32	120.76	203.47	349.55	282.42
